province_state,Dates,Confirmed
California,2000-01-22 00:00:00.000,0
California,2000-01-23 00:00:00.000,0
California,2000-01-24 00:00:00.000,0
California,2000-01-25 00:00:00.000,0
California,2000-01-26 00:00:00.000,0
California,2000-01-27 00:00:00.000,0
California,2000-01-28 00:00:00.000,2
California,2000-01-29 00:00:00.000,2
California,2000-01-30 00:00:00.000,2
California,2000-01-31 00:00:00.000,2
California,2000-02-01 00:00:00.000,2
California,2000-02-02 00:00:00.000,3
California,2000-02-03 00:00:00.000,3
California,2000-02-04 00:00:00.000,3
California,2000-02-05 00:00:00.000,6
California,2000-02-06 00:00:00.000,6
California,2000-02-07 00:00:00.000,6
California,2000-02-08 00:00:00.000,6
California,2000-02-09 00:00:00.000,6
California,2000-02-10 00:00:00.000,6
California,2000-02-11 00:00:00.000,6
California,2000-02-12 00:00:00.000,6
California,2000-02-13 00:00:00.000,7
California,2000-02-14 00:00:00.000,7
California,2000-02-15 00:00:00.000,8
California,2000-02-16 00:00:00.000,8
California,2000-02-17 00:00:00.000,8
California,2000-02-18 00:00:00.000,8
California,2000-02-19 00:00:00.000,8
California,2000-02-20 00:00:00.000,8
California,2000-02-21 00:00:00.000,8
California,2000-02-22 00:00:00.000,8
California,2000-02-23 00:00:00.000,10
California,2000-02-24 00:00:00.000,10
California,2000-02-25 00:00:00.000,10
California,2000-02-26 00:00:00.000,10
California,2000-02-27 00:00:00.000,10
California,2000-02-28 00:00:00.000,10
California,2000-02-29 00:00:00.000,11
California,2000-03-01 00:00:00.000,11
California,2000-03-02 00:00:00.000,12
California,2000-03-03 00:00:00.000,12
California,2000-03-04 00:00:00.000,21
California,2000-03-05 00:00:00.000,25
California,2000-03-06 00:00:00.000,35
California,2000-03-07 00:00:00.000,51
California,2000-03-08 00:00:00.000,59
California,2000-03-09 00:00:00.000,81
California,2000-03-10 00:00:00.000,95
California,2000-03-11 00:00:00.000,101
California,2000-03-12 00:00:00.000,144
California,2000-03-13 00:00:00.000,178
California,2000-03-14 00:00:00.000,221
California,2000-03-15 00:00:00.000,281
California,2000-03-16 00:00:00.000,372
California,2000-03-17 00:00:00.000,373
California,2000-03-18 00:00:00.000,557
California,2000-03-19 00:00:00.000,700
California,2000-03-20 00:00:00.000,828
California,2000-03-21 00:00:00.000,1005
California,2000-03-22 00:00:00.000,1243
California,2000-03-23 00:00:00.000,1405
California,2000-03-24 00:00:00.000,1646
California,2000-03-25 00:00:00.000,2108
California,2000-03-26 00:00:00.000,2538
California,2000-03-27 00:00:00.000,2998
California,2000-03-28 00:00:00.000,3899
California,2000-03-29 00:00:00.000,4657
California,2000-03-30 00:00:00.000,5095
California,2000-03-31 00:00:00.000,5852
California,2000-04-01 00:00:00.000,7138
California,2000-04-02 00:00:00.000,8210
California,2000-04-03 00:00:00.000,9399
