province_state,Dates,Confirmed
Massachusetts,2000-01-22 00:00:00.000,0
Massachusetts,2000-01-23 00:00:00.000,0
Massachusetts,2000-01-24 00:00:00.000,0
Massachusetts,2000-01-25 00:00:00.000,0
Massachusetts,2000-01-26 00:00:00.000,0
Massachusetts,2000-01-27 00:00:00.000,0
Massachusetts,2000-01-28 00:00:00.000,0
Massachusetts,2000-01-29 00:00:00.000,0
Massachusetts,2000-01-30 00:00:00.000,0
Massachusetts,2000-01-31 00:00:00.000,0
Massachusetts,2000-02-01 00:00:00.000,0
Massachusetts,2000-02-02 00:00:00.000,0
Massachusetts,2000-02-03 00:00:00.000,1
Massachusetts,2000-02-04 00:00:00.000,1
Massachusetts,2000-02-05 00:00:00.000,1
Massachusetts,2000-02-06 00:00:00.000,1
Massachusetts,2000-02-07 00:00:00.000,1
Massachusetts,2000-02-08 00:00:00.000,1
Massachusetts,2000-02-09 00:00:00.000,1
Massachusetts,2000-02-10 00:00:00.000,1
Massachusetts,2000-02-11 00:00:00.000,1
Massachusetts,2000-02-12 00:00:00.000,1
Massachusetts,2000-02-13 00:00:00.000,1
Massachusetts,2000-02-14 00:00:00.000,1
Massachusetts,2000-02-15 00:00:00.000,1
Massachusetts,2000-02-16 00:00:00.000,1
Massachusetts,2000-02-17 00:00:00.000,1
Massachusetts,2000-02-18 00:00:00.000,1
Massachusetts,2000-02-19 00:00:00.000,1
Massachusetts,2000-02-20 00:00:00.000,1
Massachusetts,2000-02-21 00:00:00.000,1
Massachusetts,2000-02-22 00:00:00.000,1
Massachusetts,2000-02-23 00:00:00.000,1
Massachusetts,2000-02-24 00:00:00.000,1
Massachusetts,2000-02-25 00:00:00.000,1
Massachusetts,2000-02-26 00:00:00.000,1
Massachusetts,2000-02-27 00:00:00.000,1
Massachusetts,2000-02-28 00:00:00.000,1
Massachusetts,2000-02-29 00:00:00.000,1
Massachusetts,2000-03-01 00:00:00.000,1
Massachusetts,2000-03-02 00:00:00.000,1
Massachusetts,2000-03-03 00:00:00.000,1
Massachusetts,2000-03-04 00:00:00.000,1
Massachusetts,2000-03-05 00:00:00.000,2
Massachusetts,2000-03-06 00:00:00.000,2
Massachusetts,2000-03-07 00:00:00.000,2
Massachusetts,2000-03-08 00:00:00.000,6
Massachusetts,2000-03-09 00:00:00.000,6
Massachusetts,2000-03-10 00:00:00.000,22
Massachusetts,2000-03-11 00:00:00.000,22
Massachusetts,2000-03-12 00:00:00.000,41
Massachusetts,2000-03-13 00:00:00.000,92
Massachusetts,2000-03-14 00:00:00.000,107
Massachusetts,2000-03-15 00:00:00.000,123
Massachusetts,2000-03-16 00:00:00.000,138
Massachusetts,2000-03-17 00:00:00.000,138
Massachusetts,2000-03-18 00:00:00.000,187
Massachusetts,2000-03-19 00:00:00.000,217
Massachusetts,2000-03-20 00:00:00.000,252
Massachusetts,2000-03-21 00:00:00.000,328
Massachusetts,2000-03-22 00:00:00.000,413
Massachusetts,2000-03-23 00:00:00.000,523
Massachusetts,2000-03-24 00:00:00.000,640
Massachusetts,2000-03-25 00:00:00.000,777
Massachusetts,2000-03-26 00:00:00.000,1159
Massachusetts,2000-03-27 00:00:00.000,1838
Massachusetts,2000-03-28 00:00:00.000,2417
Massachusetts,2000-03-29 00:00:00.000,3240
Massachusetts,2000-03-30 00:00:00.000,4257
Massachusetts,2000-03-31 00:00:00.000,4955
Massachusetts,2000-04-01 00:00:00.000,5752
Massachusetts,2000-04-02 00:00:00.000,6620
Massachusetts,2000-04-03 00:00:00.000,7738
